name,address,state_x,rating,totalUserRatings,placeID,latitude,longitude,ZIP,city,stateFIPS,placeFIPS,placeName,totalPopulation,malePopulation,femalePopulation,medianAge,medianAgeMale,medianAgeFemale,whitePopulation,blackPopulation,asianPopulation,hispanicPopulation,medianHouseholdIncome,incomeBelow10k,income10kTo15k,income15kTo25k,perCapitaIncome,populationBelowPoverty,medianGrossRent,totalHousingUnits,ownerOccupiedHousingUnits,renterOccupiedHousingUnits,medianHomeValue,medianMonthlyHousingCosts,medianYearStructureBuilt,totalEducationPopulation,bachelorsDegree,mastersDegree,doctorateDegree,employedPopulation,occupationData,managementOccupation,serviceOccupation,foreignBornPopulation,notHispanicWhitePopulation,notHispanicBlackPopulation,commuters,meanTravelTime,carAvailability,disabilityPopulation,healthInsurancePopulation,householdPopulation,singleParentHouseholds,marriedPopulation,state_y,place,successMetric,geometry,nearestDistanceToTRH
Texas Roadhouse,"370 N McKinley St, Corona, CA 92879, United States",CA,4.5,5624.0,ChIJ5zshPpK33IARAeVS1sdM2Eg,33.8865504,-117.5215289,92879.0,corona,6,16350,"Corona city, California",168112,84051,84061,34.8,33.3,36.2,92352,10930,17656,80531,88434,1704,1321,1215,32545,15900,1705,49804,30481,17472,491000,1705,1990,108544,23416,20648,7299,85918,82235,86164,32133,80531,10062,17393,80739,2839145,47953,167306,167306,47953,38830,133474,6.0,16350.0,25308.0,POINT (-117.5215289 33.8865504),15.06731056582705
Texas Roadhouse,"2735 Vista Way, Oceanside, CA 92054, United States",CA,4.5,4065.0,ChIJn3ohao9x3IARrShJVBUoXaA,33.1825273,-117.327494,92054.0,oceanside,6,53322,"Oceanside city, California",175694,86396,89298,37.1,35.6,38.8,119849,7700,12763,66494,75411,2004,1825,2054,34768,16830,1803,65829,34885,26226,538200,1803,1983,120965,21131,25128,9693,91948,86712,75918,30162,66494,7343,12359,87493,2401545,61111,172265,172265,61111,41602,143131,6.0,53322.0,18292.5,POINT (-117.327494 33.1825273),33.403261904576006
Texas Roadhouse,"29860 Haun Rd, Menifee, CA 92586, United States",CA,4.6,6866.0,ChIJJeDmZYqd3IARw7C_lwpG82I,33.6861044,-117.1742448,92586.0,sun city,6,46842,"Menifee city, California",92968,45601,47367,38.0,35.8,40.1,55410,6222,5280,34819,76824,960,887,1089,30891,6969,1657,31677,23041,6284,353000,1657,1998,63098,14972,8296,3605,40710,37703,86672,35927,34819,5947,5003,36698,1457330,29325,92433,92433,29325,22239,73827,6.0,46842.0,31583.6,POINT (-117.1742448 33.6861044),18.345383172186835
Texas Roadhouse,"4425 S Mooney Blvd, Visalia, CA 93277, United States",CA,4.1,1173.0,ChIJlfgczvgvlYARztWJ0taiv40,36.2900471,-119.3141226,93277.0,visalia,6,82954,"Visalia city, California",133100,64536,68564,32.5,32.0,33.4,87965,3439,8435,69107,66668,2015,1287,1477,28376,19165,1085,46139,25950,17917,254600,1085,1985,82168,17049,12230,4664,61112,57818,71279,40232,69107,2877,7574,56149,1112405,43867,131663,131663,43867,32188,100830,6.0,82954.0,4809.299999999999,POINT (-119.3141226 36.2900471),46.51378545754218
Texas Roadhouse,"6309 Sunrise Blvd, Citrus Heights, CA 95610, United States",CA,4.4,5469.0,ChIJjRxpvS_emoAR-eeWsJyuzFk,38.6805561,-121.2720128,95610.0,citrus heights,6,13588,"Citrus Heights city, California",87665,42618,45047,37.6,35.6,40.1,69296,3108,3054,17471,65867,948,1237,1169,32176,9120,1364,35119,19795,14040,326700,1364,1976,62104,13083,9426,2614,46508,43725,63270,41603,17471,2912,2971,42721,1102050,33835,87371,87371,33835,21307,72986,6.0,13588.0,24063.600000000002,POINT (-121.2720128 38.6805561),17.281242721492
Texas Roadhouse,"32115 Union Landing Blvd, Union City, CA 94587, United States",CA,4.4,6553.0,ChIJ41ntlMaVj4ARndbC_tyjSNc,37.6014159,-122.0672212,94587.0,union city,6,81204,"Union City city, California",75067,38698,36369,39.8,37.5,42.4,15248,3413,41510,14813,120772,674,296,244,43336,4199,2322,22540,14113,7610,812000,2322,1979,55139,11914,14741,6162,41258,39663,96645,40135,14813,3376,41112,29248,917090,21723,74945,74945,21723,17889,63448,6.0,81204.0,28833.2,POINT (-122.0672212 37.6014159),34.547936706471084
Texas Roadhouse,"1665 Countryside Dr, Turlock, CA 95380, United States",CA,4.2,832.0,ChIJn3GvZOEHkYAR9-PS2KhFR50,37.5080955,-120.8772043,95380.0,turlock,6,80812,"Turlock city, California",72715,34945,37770,34.5,34.4,34.6,52469,1609,4349,29132,60799,1289,1324,1408,28289,10823,1159,26238,13652,11792,329900,1159,1983,46529,10198,7679,2605,34039,31454,71667,38380,29132,1476,4280,30540,764300,25444,72187,72187,25444,17808,57702,6.0,80812.0,3494.4,POINT (-120.8772043 37.5080955),15.380855313214859
Texas Roadhouse,"2422 Naglee Rd, Tracy, CA 95304, United States",CA,4.4,5031.0,ChIJf_0whgoYkIARXrmHNxwXXWI,37.7546534,-121.465851,95304.0,tracy,6,80238,"Tracy city, California",91462,46083,45379,33.9,32.7,35.3,46339,4814,16090,38461,95741,671,365,737,33961,7819,1862,27787,16684,10323,470400,1862,1994,57131,12822,9397,2196,47302,45000,81165,48836,38461,4645,15749,43150,1801635,27007,91275,91275,27007,21421,70577,6.0,80238.0,22136.4,POINT (-121.465851 37.7546534),23.238919554349543
Texas Roadhouse,"3333 N Texas St, Fairfield, CA 94533, United States",CA,4.3,5891.0,ChIJT60_MF4WhYARg5-gmG8RsPA,38.2897526,-122.0348809,94533.0,fairfield,6,23182,"Fairfield city, California",116544,57479,59065,35.0,33.8,36.4,52958,19499,18844,34747,86204,1231,786,621,35094,9937,1734,38539,21724,15119,433300,1734,1985,76892,15057,14946,5208,58257,54776,80988,41540,34747,18993,18428,55123,1681905,36843,113716,113716,36843,28057,92187,6.0,23182.0,25331.3,POINT (-122.0348809 38.2897526),35.79781629082773
Texas Roadhouse,"3190 W Shaw Ave, Fresno, CA 93711, United States",CA,4.4,4876.0,ChIJz8-rMSVmlIARkKOAXgfdqds,36.808633,-119.848476,93711.0,fresno,6,27000,"Fresno city, California",526147,259844,266303,31.4,30.7,32.2,291151,37814,75715,261751,53368,13399,10746,8816,24814,121485,1041,180020,79697,90440,256000,1041,1978,321425,61475,48572,15512,241764,218708,61901,29423,261751,36089,73892,212860,4466540,170137,520597,520597,170137,115275,400269,6.0,27000.0,21454.4,POINT (-119.848476 36.808633),46.51378545754199
Texas Roadhouse,"3203 Ming Ave, Bakersfield, CA 93304, United States",CA,4.2,3083.0,ChIJG9Je8HBq6oARIq8DyqTT80o,35.3384514,-119.0378949,93304.0,bakersfield,6,3526,"Bakersfield city, California",379879,187772,192107,31.0,30.0,31.9,232022,28145,27714,194159,65687,6574,5585,4046,27309,64679,1124,125143,70470,48098,258700,1124,1988,227859,50578,33950,12240,176076,162696,68571,37985,194159,26497,27159,158257,3531595,118568,377974,377974,118568,88421,285366,6.0,3526.0,12948.6,POINT (-119.0378949 35.3384514),67.54589792232542
Texas Roadhouse,"103 Fletcher Pkwy, El Cajon, CA 92020, United States",CA,4.4,3455.0,ChIJ1z-dghhZ2YAR1xmdOGDtl88,32.8073156,-116.9640072,92020.0,el cajon,6,21712,"El Cajon city, California",103249,50717,52532,35.0,33.7,35.8,74670,6080,4466,27418,56367,2087,1987,1970,25940,19765,1398,34716,14020,19476,470800,1398,1973,67853,16158,10484,3476,49489,45658,63493,34750,27418,5417,4364,44666,1106345,33496,101652,101652,33496,23978,81118,6.0,21712.0,15202.000000000002,POINT (-116.9640072 32.8073156),12.148437756602641
Texas Roadhouse,"1421 W Sunset Rd, Henderson, NV 89014, United States",NV,4.4,1958.0,ChIJV9dPCKnRyIARloT7Wk2T-KE,36.0632347,-115.0475945,89014.0,henderson,32,31900,"Henderson city, Nevada",309955,153452,156503,43.0,42.1,43.6,223725,18621,27054,53743,75430,4850,2833,3978,40796,24519,1360,131804,77588,43147,341100,1360,1998,224917,48025,47714,19929,152177,141477,83029,36039,53743,17929,26464,139044,3034255,120735,308083,308083,120735,78657,256787,32.0,31900.0,8615.2,POINT (-115.0475945 36.0632347),7.399733773424882
Texas Roadhouse,"150 Damonte Ranch Pkwy, Reno, NV 89521, United States",NV,4.5,4634.0,ChIJXTsjOvAUmYARtCUZEr62ZS0,39.4190254,-119.7531093,89521.0,reno,32,60600,"Reno city, Nevada",250903,126469,124434,36.1,35.6,36.9,181145,7967,18057,60270,61860,5143,4140,4625,36358,31049,1107,112516,50244,55077,361100,1107,1988,172810,31331,37377,15130,138697,131317,67863,32298,60270,7425,17312,129437,2496005,105321,248451,248451,105321,57910,206911,32.0,60600.0,20853.0,POINT (-119.7531093 39.4190254),96.15294783814826
