rating,totalUserRatings,latitude,longitude,ZIP,city,stateFIPS,placeFIPS,totalPopulation,malePopulation,femalePopulation,medianAge,medianAgeMale,medianAgeFemale,whitePopulation,blackPopulation,asianPopulation,hispanicPopulation,medianHouseholdIncome,incomeBelow10k,income10kTo15k,income15kTo25k,perCapitaIncome,populationBelowPoverty,medianGrossRent,totalHousingUnits,ownerOccupiedHousingUnits,renterOccupiedHousingUnits,medianHomeValue,medianMonthlyHousingCosts,medianYearStructureBuilt,totalEducationPopulation,bachelorsDegree,mastersDegree,doctorateDegree,employedPopulation,occupationData,managementOccupation,serviceOccupation,foreignBornPopulation,notHispanicWhitePopulation,notHispanicBlackPopulation,commuters,meanTravelTime,carAvailability,disabilityPopulation,healthInsurancePopulation,householdPopulation,singleParentHouseholds,marriedPopulation,place,successMetric,nearestDistanceToTRH,successProbability,predictedLabel,existingLocation,ZIP3
4.5,4586.0,42.6619866,-84.5499548,48911.0,lansing,26,46000,117488,57278,60210,32.7,31.3,34.0,71520,27454,5543,15271,44233,4359,2935,2689,23724,26411,847.0,55312,25530,24009,87700.0,847.0,1959,76257,16562,12422,5757,62671,56661,52754,30428,15271,26257,5522,55368,1036850,49539,117152,117152,49539,24531,94201,46000.0,20637.0,8.263725597239679,0.0,0,1,489
4.3,648.0,42.7922247,-83.7416724,48430.0,fenton,26,27760,11368,5084,6284,38.2,36.0,39.1,10634,108,0,606,62672,115,415,262,33089,1124,1067.0,5174,3161,1873,158000.0,1067.0,1980,8019,2082,1241,650,5621,5311,61694,41806,606,83,0,5208,157520,5034,11186,11186,5034,2795,9142,27760.0,2786.4,13.167664812221812,0.0,0,1,484
4.4,6416.0,42.20045,-83.2588633,48180.0,taylor,26,79000,61164,30187,30977,39.0,35.7,42.3,45533,11485,919,3641,52872,1843,1090,1188,25939,9050,877.0,26787,16108,8897,109400.0,877.0,1963,42551,13941,4504,1088,30705,28790,51992,35739,3641,11401,905,28302,608890,25005,60544,60544,25005,15964,50859,79000.0,28230.4,11.309082296895753,0.0,0,1,481
4.3,5872.0,42.3247815,-83.402705,48185.0,westland,26,86000,81713,38038,43675,38.8,37.0,40.5,56919,16371,3342,3589,51956,1942,1563,2557,28418,11014,923.0,37350,21267,13686,131600.0,923.0,1968,57208,14506,8732,3519,42109,40059,53990,42613,3589,16196,3327,39096,975700,34953,81054,81054,34953,19922,66432,86000.0,25249.6,11.30908229689575,0.0,0,1,481
4.4,3805.0,42.2142192,-85.5888329,49002.0,portage,26,65560,49224,24019,25205,37.1,36.3,37.8,42342,2703,1494,2526,66571,1010,464,657,37031,3830,889.0,21323,13585,6513,174600.0,889.0,1976,32748,5644,9031,4583,27118,25407,72688,41450,2526,2542,1494,25062,465965,20098,49093,49093,20098,12571,39909,65560.0,16742.0,38.834574482302905,0.0,0,1,490
4.3,3032.0,42.9120453,-85.5736858,49512.0,grand rapids,26,34000,199417,97685,101732,31.2,31.0,31.5,130709,36021,5167,32557,51333,6442,3604,3919,26556,38118,947.0,81640,42013,34347,156500.0,947.0,1953,127357,23619,32087,11684,108010,101753,54672,30962,32557,34947,5124,99711,1804995,76360,196140,196140,76360,42353,162362,34000.0,13037.6,10.29256279997234,0.0,0,1,495
4.5,4410.0,43.5784166,-84.767031,48858.0,mount pleasant,26,56020,25290,12171,13119,22.6,23.3,22.0,21545,999,700,1280,39485,1149,644,511,20630,6390,759.0,9219,3203,4711,140900.0,759.0,1975,11066,2186,2360,1514,13572,12306,47353,30473,1280,942,700,11722,150770,7914,24828,24828,7914,3460,22515,56020.0,19845.0,40.67119446542743,0.0,0,1,488
4.3,3273.0,42.2416428,-83.7676269,48103.0,ann arbor,26,3000,121093,59870,61223,27.5,27.0,28.1,84181,8488,21065,5588,69456,5075,2059,1570,44710,25356,1299.0,51010,21838,26271,346800.0,1299.0,1970,66901,4050,20077,18189,65480,63156,70386,26017,5588,8205,20956,61907,1071030,48109,120745,120745,48109,21327,108432,3000.0,14073.9,18.131305157777028,0.0,0,1,481
4.3,3427.0,42.8853708,-85.7737494,49418.0,grandville,26,34160,15906,7819,8087,35.7,34.2,39.3,14236,237,199,1246,65656,168,173,394,32913,1095,842.0,6559,4929,1483,177300.0,842.0,1973,10887,2362,2560,1014,8970,8782,52667,37349,1246,237,199,8726,150890,6412,15758,15758,6412,4477,12873,34160.0,14736.1,10.292562799972352,0.0,0,1,494
4.4,3853.0,42.269526,-84.4264765,49202.0,jackson,26,41420,32251,15599,16652,35.1,33.7,36.2,23226,6404,210,2220,37192,1658,953,1087,20776,7576,729.0,15574,7440,6027,71400.0,729.0,0,21094,6110,2351,768,15675,14064,32463,30203,2220,6310,210,13793,247760,13467,31790,31790,13467,7383,25480,41420.0,16953.2,27.837203437223383,0.0,0,1,492
4.2,4810.0,42.9824841,-83.756699,48507.0,flint,26,29000,95999,46588,49411,36.3,35.2,37.5,36910,51874,502,4401,30383,7407,3655,2789,17638,35118,730.0,52792,23226,17581,31700.0,730.0,1954,62504,18256,5074,2058,39839,32059,34896,31022,4401,50914,471,31318,681505,40807,95212,95212,40807,23223,76299,29000.0,20202.0,13.167664812221773,0.0,0,1,485
4.4,3792.0,42.6743845,-82.8377865,48051.0,new baltimore,26,57100,12333,6086,6247,41.2,39.2,42.7,11533,160,34,387,83767,161,202,78,34460,705,799.0,4932,3656,960,234100.0,799.0,1993,8520,1693,1514,621,6180,5944,99375,34274,387,160,34,5949,175500,4616,12191,12191,4616,3276,9976,57100.0,16684.800000000003,11.009144321173627,0.0,0,1,480
