placeName,totalPopulation,malePopulation,femalePopulation,medianAge,medianAgeMale,medianAgeFemale,whitePopulation,blackPopulation,asianPopulation,hispanicPopulation,medianHouseholdIncome,incomeBelow10k,income10kTo15k,income15kTo25k,perCapitaIncome,populationBelowPoverty,medianGrossRent,totalHousingUnits,ownerOccupiedHousingUnits,renterOccupiedHousingUnits,medianHomeValue,medianMonthlyHousingCosts,medianYearStructureBuilt,totalEducationPopulation,bachelorsDegree,mastersDegree,doctorateDegree,employedPopulation,occupationData,managementOccupation,serviceOccupation,foreignBornPopulation,notHispanicWhitePopulation,notHispanicBlackPopulation,commuters,meanTravelTime,carAvailability,disabilityPopulation,healthInsurancePopulation,householdPopulation,singleParentHouseholds,unmarriedPartners,marriedPopulation,state,place,stateFIPS,placeFIPS,city,zip,latitude,longitude
"Fort Collins city, Colorado",166069,83149,82920,29.9,29.5,30.3,143235,2528,5606,20352,70528,3664,2290,2031,35489,25078,1373,64262,34046,27480,398800,1373,1991,99868,12232,31821,17514,98235,92364,64807,36881,20352,2357,5524,91189,1670165,61526,164016,164016,61526,33565,,141657,CO,27425,8,27425,FORT COLLINS,80525,40.52795,-105.04249
"Fort Collins city, Colorado",166069,83149,82920,29.9,29.5,30.3,143235,2528,5606,20352,70528,3664,2290,2031,35489,25078,1373,64262,34046,27480,398800,1373,1991,99868,12232,31821,17514,98235,92364,64807,36881,20352,2357,5524,91189,1670165,61526,164016,164016,61526,33565,,141657,CO,27425,8,27425,FORT COLLINS,80526,40.5174,-105.13262
"Fort Collins city, Colorado",166069,83149,82920,29.9,29.5,30.3,143235,2528,5606,20352,70528,3664,2290,2031,35489,25078,1373,64262,34046,27480,398800,1373,1991,99868,12232,31821,17514,98235,92364,64807,36881,20352,2357,5524,91189,1670165,61526,164016,164016,61526,33565,,141657,CO,27425,8,27425,FORT COLLINS,80527,40.5853,-105.0844
"Fort Collins city, Colorado",166069,83149,82920,29.9,29.5,30.3,143235,2528,5606,20352,70528,3664,2290,2031,35489,25078,1373,64262,34046,27480,398800,1373,1991,99868,12232,31821,17514,98235,92364,64807,36881,20352,2357,5524,91189,1670165,61526,164016,164016,61526,33565,,141657,CO,27425,8,27425,FORT COLLINS,80528,40.49343,-105.00075
"Fort Collins city, Colorado",166069,83149,82920,29.9,29.5,30.3,143235,2528,5606,20352,70528,3664,2290,2031,35489,25078,1373,64262,34046,27480,398800,1373,1991,99868,12232,31821,17514,98235,92364,64807,36881,20352,2357,5524,91189,1670165,61526,164016,164016,61526,33565,,141657,CO,27425,8,27425,FORT COLLINS,80547,40.52948,-104.96347
"Fort Lupton city, Colorado",8600,4480,4120,35.9,36.4,33.2,6755,66,0,4603,66056,135,79,72,28555,572,953,2743,1829,863,284100,953,1978,5958,1466,623,203,4796,4420,65046,41076,4603,66,0,4231,121925,2692,8589,8589,2692,1855,,6885,CO,27700,8,27700,FORT LUPTON,80621,40.10732,-104.79841
"Fort Morgan city, Colorado",11311,5846,5465,32.8,32.2,34.9,8018,879,22,6029,48642,253,255,246,21813,1185,870,4258,2099,1975,184300,870,1967,6999,1530,776,272,5501,5190,49127,29845,6029,879,22,5143,84165,4074,11112,11112,4074,2553,,8665,CO,27810,8,27810,FORT MORGAN,80701,40.13494,-103.81102
"Fort Morgan city, Colorado",11311,5846,5465,32.8,32.2,34.9,8018,879,22,6029,48642,253,255,246,21813,1185,870,4258,2099,1975,184300,870,1967,6999,1530,776,272,5501,5190,49127,29845,6029,879,22,5143,84165,4074,11112,11112,4074,2553,,8665,CO,27810,8,27810,FORT MORGAN,80705,40.27116,-103.83428
"Fountain city, Colorado",30240,14891,15349,30.3,31.1,28.9,22119,3015,1193,8038,68194,406,216,182,25881,2159,1505,10343,6874,2996,259000,1505,2000,18579,3618,3746,1194,13455,12379,54036,33403,8038,2881,1193,13659,345515,9870,28655,28655,9870,7526,,22967,CO,27865,8,27865,FOUNTAIN,80817,38.58347,-104.67412
"Four Square Mile CDP, Colorado",21993,10660,11333,31.6,31,32.3,11789,5332,1224,3915,61994,349,403,278,34356,1796,1409,10112,2484,6741,324600,1409,1989,14955,2299,4679,1655,13418,12947,59236,27522,3915,5284,1221,12518,305890,9225,21881,21881,9225,4872,,17911,CO,27950,8,27950,FOUR SQUARE MILE,80231,39.67123,-104.88787
"Fowler town, Colorado",1139,535,604,52.5,53,52.4,1092,0,0,218,34348,65,77,64,22267,240,750,605,381,169,99000,750,1956,867,304,140,30,427,412,46667,-666666666,218,0,0,412,9670,550,1099,1099,550,260,,966,CO,27975,8,27975,FOWLER,81039,37.94079,-104.08615
"Fowler town, Colorado",1139,535,604,52.5,53,52.4,1092,0,0,218,34348,65,77,64,22267,240,750,605,381,169,99000,750,1956,867,304,140,30,427,412,46667,-666666666,218,0,0,412,9670,550,1099,1099,550,260,,966,CO,27975,8,27975,FOWLER,81062,38.29345,-103.94995
"Fraser town, Colorado",1304,848,456,32.8,32.2,35.8,1110,77,79,200,55865,12,63,14,31076,147,1145,1192,188,327,295100,1145,1991,957,224,285,33,977,884,42539,-666666666,200,77,79,884,17035,515,1304,1304,515,222,,1121,CO,28305,8,28305,FRASER,80442,39.91633,-105.89813
"Frederick town, Colorado",10414,5334,5080,35.4,35.4,35.4,8824,52,578,1703,107443,17,56,45,39032,167,1612,3260,3012,178,387800,1612,2006,6982,1510,1647,671,6256,6056,79167,31818,1703,52,575,5937,174500,3190,10414,10414,3190,2614,,8054,CO,28360,8,28360,FREDERICK,80530,40.10153,-104.92302
"Frisco town, Colorado",2928,1535,1393,49.6,50.3,48.4,2703,0,0,51,81389,40,33,0,46255,227,2056,3422,907,363,590900,2056,1988,2522,283,1078,299,1933,1909,103288,-666666666,51,0,0,1735,27420,1270,2928,2928,1270,719,,2660,CO,28690,8,28690,FRISCO,80443,39.50165,-106.16673
"Fruita city, Colorado",14068,6529,7539,36.6,32.8,38.5,12887,142,77,1208,50800,242,149,665,23047,1537,1204,5127,3431,1461,245100,1204,1998,8991,2052,1291,564,6658,6103,63426,30325,1208,142,77,5929,104775,4892,13983,13983,4892,3635,,11100,CO,28745,8,28745,FRUITA,81521,39.12529,-108.85049
"Fruitvale CDP, Colorado",8352,4038,4314,38.6,39.4,38.4,7731,0,45,1193,64063,77,56,93,30350,560,1262,3303,2835,337,214000,1262,1985,5695,1699,927,345,4035,3805,56435,38500,1193,0,45,3734,74700,3172,8352,8352,3172,2266,,6385,CO,28800,8,28800,FRUITVALE,81504,39.1198,-108.49542
"Genesee CDP, Colorado",4099,1977,2122,51.4,52,49.1,3796,28,0,259,159327,26,0,0,85350,52,3048,1672,1524,108,785600,3048,1986,3081,51,1241,754,1914,1882,158417,-666666666,259,12,0,1822,36995,1632,4099,4099,1632,1307,,3373,CO,29625,8,29625,GENESEE,80401,39.71672,-105.23286
"Georgetown town, Colorado",1205,557,648,47.3,42.4,55.9,1158,18,0,84,36906,26,71,33,40449,112,1095,869,389,250,323800,1095,1967,1035,206,253,57,686,625,72500,30625,84,18,0,606,14530,639,1097,1097,639,239,,1125,CO,29735,8,29735,GEORGETOWN,80444,39.63138,-105.73078
"Gilcrest town, Colorado",1381,797,584,31.5,28.7,33.4,1124,0,0,897,62917,11,7,16,21823,153,1375,363,291,45,204500,1375,1976,830,353,77,7,780,780,63333,45595,897,0,0,766,32725,336,1381,1381,336,301,,1079,CO,29955,8,29955,GILCREST,80623,40.28531,-104.78253
"Glendale city, Colorado",5186,2687,2499,30.7,29,33.3,3367,889,158,797,60573,158,108,72,43224,669,1428,3189,266,2655,252600,1428,1985,4019,464,1530,456,4067,3943,60833,15000,797,889,147,3921,86400,2921,5186,5186,2921,993,,4740,CO,30340,8,30340,GLENDALE,80246,39.70461,-104.9314
"Gleneagle CDP, Colorado",6256,3356,2900,45.9,45.1,49.5,5435,295,201,357,118750,53,12,37,46193,214,1486,2502,2012,360,396500,1486,1997,4309,295,1279,961,3071,2977,115273,-666666666,357,295,201,3025,64750,2372,6185,6185,2372,1861,,5121,CO,30420,8,30420,GLENEAGLE,80921,39.02648,-104.88156
"Glenwood Springs city, Colorado",10048,5023,5025,36.3,35.8,37.5,8082,129,190,2838,66860,248,137,207,33858,789,1178,4477,1936,1998,436700,1178,1977,6999,1323,1740,746,6074,5884,62475,22460,2838,129,190,5764,150585,3934,9883,9883,3934,2280,,8435,CO,30780,8,30780,GLENWOOD SPRINGS,81601,39.59357,-107.32815
"Glenwood Springs city, Colorado",10048,5023,5025,36.3,35.8,37.5,8082,129,190,2838,66860,248,137,207,33858,789,1178,4477,1936,1998,436700,1178,1977,6999,1323,1740,746,6074,5884,62475,22460,2838,129,190,5764,150585,3934,9883,9883,3934,2280,,8435,CO,30780,8,30780,GLENWOOD SPRINGS,81602,39.5505,-107.3248
"Golden city, Colorado",20391,11872,8519,35,33.1,38.6,18641,389,407,1874,80338,514,130,230,43810,2286,1495,7594,4413,2847,541400,1495,1985,13263,1919,3716,2570,10808,10234,81496,43871,1874,389,407,10108,211575,7260,18617,18617,7260,3927,,17747,CO,30835,8,30835,GOLDEN,80401,39.71672,-105.23286
"Golden city, Colorado",20391,11872,8519,35,33.1,38.6,18641,389,407,1874,80338,514,130,230,43810,2286,1495,7594,4413,2847,541400,1495,1985,13263,1919,3716,2570,10808,10234,81496,43871,1874,389,407,10108,211575,7260,18617,18617,7260,3927,,17747,CO,30835,8,30835,GOLDEN,80402,39.7555,-105.2211
"Golden city, Colorado",20391,11872,8519,35,33.1,38.6,18641,389,407,1874,80338,514,130,230,43810,2286,1495,7594,4413,2847,541400,1495,1985,13263,1919,3716,2570,10808,10234,81496,43871,1874,389,407,10108,211575,7260,18617,18617,7260,3927,,17747,CO,30835,8,30835,GOLDEN,80402,39.7555,-105.2211
"Golden city, Colorado",20391,11872,8519,35,33.1,38.6,18641,389,407,1874,80338,514,130,230,43810,2286,1495,7594,4413,2847,541400,1495,1985,13263,1919,3716,2570,10808,10234,81496,43871,1874,389,407,10108,211575,7260,18617,18617,7260,3927,,17747,CO,30835,8,30835,GOLDEN,80403,39.83229,-105.32013
"Golden city, Colorado",20391,11872,8519,35,33.1,38.6,18641,389,407,1874,80338,514,130,230,43810,2286,1495,7594,4413,2847,541400,1495,1985,13263,1919,3716,2570,10808,10234,81496,43871,1874,389,407,10108,211575,7260,18617,18617,7260,3927,,17747,CO,30835,8,30835,GOLDEN,80403,39.83229,-105.32013
"Golden city, Colorado",20391,11872,8519,35,33.1,38.6,18641,389,407,1874,80338,514,130,230,43810,2286,1495,7594,4413,2847,541400,1495,1985,13263,1919,3716,2570,10808,10234,81496,43871,1874,389,407,10108,211575,7260,18617,18617,7260,3927,,17747,CO,30835,8,30835,GOLDEN,80439,39.6343,-105.42994
"Golden city, Colorado",20391,11872,8519,35,33.1,38.6,18641,389,407,1874,80338,514,130,230,43810,2286,1495,7594,4413,2847,541400,1495,1985,13263,1919,3716,2570,10808,10234,81496,43871,1874,389,407,10108,211575,7260,18617,18617,7260,3927,,17747,CO,30835,8,30835,GOLDEN,80465,39.60437,-105.21521
"Granby town, Colorado",2281,1328,953,41.6,39.4,45.9,2152,19,0,93,64402,16,12,14,39847,104,1103,1844,702,315,248100,1103,1988,1800,431,507,140,1500,1480,66250,-666666666,93,0,0,1466,26990,1017,2281,2281,1017,622,,2037,CO,31605,8,31605,GRANBY,80446,40.16335,-105.937
"Granby town, Colorado",2281,1328,953,41.6,39.4,45.9,2152,19,0,93,64402,16,12,14,39847,104,1103,1844,702,315,248100,1103,1988,1800,431,507,140,1500,1480,66250,-666666666,93,0,0,1466,26990,1017,2281,2281,1017,622,,2037,CO,31605,8,31605,GRANBY,80446,40.16335,-105.937
"Grand Junction city, Colorado",62218,30402,31816,39.2,38.3,40.7,56715,524,966,10070,54570,1738,1152,1290,31427,8069,895,27219,15622,10138,251400,895,1984,43179,8774,9407,3246,31969,29955,52074,35103,10070,453,923,29278,426885,25760,61421,61421,25760,13527,,52092,CO,31660,8,31660,GRAND JUNCTION,81501,39.07174,-108.54569
"Grand Junction city, Colorado",62218,30402,31816,39.2,38.3,40.7,56715,524,966,10070,54570,1738,1152,1290,31427,8069,895,27219,15622,10138,251400,895,1984,43179,8774,9407,3246,31969,29955,52074,35103,10070,453,923,29278,426885,25760,61421,61421,25760,13527,,52092,CO,31660,8,31660,GRAND JUNCTION,81502,39.0639,-108.5506
"Grand Junction city, Colorado",62218,30402,31816,39.2,38.3,40.7,56715,524,966,10070,54570,1738,1152,1290,31427,8069,895,27219,15622,10138,251400,895,1984,43179,8774,9407,3246,31969,29955,52074,35103,10070,453,923,29278,426885,25760,61421,61421,25760,13527,,52092,CO,31660,8,31660,GRAND JUNCTION,81503,39.03094,-108.48682
"Grand Junction city, Colorado",62218,30402,31816,39.2,38.3,40.7,56715,524,966,10070,54570,1738,1152,1290,31427,8069,895,27219,15622,10138,251400,895,1984,43179,8774,9407,3246,31969,29955,52074,35103,10070,453,923,29278,426885,25760,61421,61421,25760,13527,,52092,CO,31660,8,31660,GRAND JUNCTION,81504,39.1198,-108.49542
"Grand Junction city, Colorado",62218,30402,31816,39.2,38.3,40.7,56715,524,966,10070,54570,1738,1152,1290,31427,8069,895,27219,15622,10138,251400,895,1984,43179,8774,9407,3246,31969,29955,52074,35103,10070,453,923,29278,426885,25760,61421,61421,25760,13527,,52092,CO,31660,8,31660,GRAND JUNCTION,81504,39.1198,-108.49542
"Grand Junction city, Colorado",62218,30402,31816,39.2,38.3,40.7,56715,524,966,10070,54570,1738,1152,1290,31427,8069,895,27219,15622,10138,251400,895,1984,43179,8774,9407,3246,31969,29955,52074,35103,10070,453,923,29278,426885,25760,61421,61421,25760,13527,,52092,CO,31660,8,31660,GRAND JUNCTION,81505,39.18593,-108.59997
"Grand Junction city, Colorado",62218,30402,31816,39.2,38.3,40.7,56715,524,966,10070,54570,1738,1152,1290,31427,8069,895,27219,15622,10138,251400,895,1984,43179,8774,9407,3246,31969,29955,52074,35103,10070,453,923,29278,426885,25760,61421,61421,25760,13527,,52092,CO,31660,8,31660,GRAND JUNCTION,81506,39.15785,-108.53454
"Grand Junction city, Colorado",62218,30402,31816,39.2,38.3,40.7,56715,524,966,10070,54570,1738,1152,1290,31427,8069,895,27219,15622,10138,251400,895,1984,43179,8774,9407,3246,31969,29955,52074,35103,10070,453,923,29278,426885,25760,61421,61421,25760,13527,,52092,CO,31660,8,31660,GRAND JUNCTION,81507,39.0079,-108.62644
"Grand Junction city, Colorado",62218,30402,31816,39.2,38.3,40.7,56715,524,966,10070,54570,1738,1152,1290,31427,8069,895,27219,15622,10138,251400,895,1984,43179,8774,9407,3246,31969,29955,52074,35103,10070,453,923,29278,426885,25760,61421,61421,25760,13527,,52092,CO,31660,8,31660,GRAND JUNCTION,81520,39.10962,-108.43561
"Grand Junction city, Colorado",62218,30402,31816,39.2,38.3,40.7,56715,524,966,10070,54570,1738,1152,1290,31427,8069,895,27219,15622,10138,251400,895,1984,43179,8774,9407,3246,31969,29955,52074,35103,10070,453,923,29278,426885,25760,61421,61421,25760,13527,,52092,CO,31660,8,31660,GRAND JUNCTION,81521,39.12529,-108.85049
"Grand Junction city, Colorado",62218,30402,31816,39.2,38.3,40.7,56715,524,966,10070,54570,1738,1152,1290,31427,8069,895,27219,15622,10138,251400,895,1984,43179,8774,9407,3246,31969,29955,52074,35103,10070,453,923,29278,426885,25760,61421,61421,25760,13527,,52092,CO,31660,8,31660,GRAND JUNCTION,81523,38.93803,-108.87362
"Grand Junction city, Colorado",62218,30402,31816,39.2,38.3,40.7,56715,524,966,10070,54570,1738,1152,1290,31427,8069,895,27219,15622,10138,251400,895,1984,43179,8774,9407,3246,31969,29955,52074,35103,10070,453,923,29278,426885,25760,61421,61421,25760,13527,,52092,CO,31660,8,31660,GRAND JUNCTION,81526,39.07741,-108.33056
"Grand Junction city, Colorado",62218,30402,31816,39.2,38.3,40.7,56715,524,966,10070,54570,1738,1152,1290,31427,8069,895,27219,15622,10138,251400,895,1984,43179,8774,9407,3246,31969,29955,52074,35103,10070,453,923,29278,426885,25760,61421,61421,25760,13527,,52092,CO,31660,8,31660,GRAND JUNCTION,81527,38.75758,-108.52466
"Greeley city, Colorado",107445,54093,53352,31.6,30.8,32.5,91556,2657,1557,41053,57537,2206,1681,1536,26273,15921,1063,36449,21063,13658,274800,1063,1983,65815,14100,10371,4594,53133,50143,63896,31080,41053,2544,1427,49376,1163365,34721,105143,105143,34721,23143,,85144,CO,32155,8,32155,GREELEY,80631,40.44216,-104.67809
"Greeley city, Colorado",107445,54093,53352,31.6,30.8,32.5,91556,2657,1557,41053,57537,2206,1681,1536,26273,15921,1063,36449,21063,13658,274800,1063,1983,65815,14100,10371,4594,53133,50143,63896,31080,41053,2544,1427,49376,1163365,34721,105143,105143,34721,23143,,85144,CO,32155,8,32155,GREELEY,80632,40.4233,-104.7091
"Greeley city, Colorado",107445,54093,53352,31.6,30.8,32.5,91556,2657,1557,41053,57537,2206,1681,1536,26273,15921,1063,36449,21063,13658,274800,1063,1983,65815,14100,10371,4594,53133,50143,63896,31080,41053,2544,1427,49376,1163365,34721,105143,105143,34721,23143,,85144,CO,32155,8,32155,GREELEY,80633,40.4233,-104.7091
"Greeley city, Colorado",107445,54093,53352,31.6,30.8,32.5,91556,2657,1557,41053,57537,2206,1681,1536,26273,15921,1063,36449,21063,13658,274800,1063,1983,65815,14100,10371,4594,53133,50143,63896,31080,41053,2544,1427,49376,1163365,34721,105143,105143,34721,23143,,85144,CO,32155,8,32155,GREELEY,80634,40.40075,-104.79222
"Greenwood Village city, Colorado",15100,7665,7435,42.7,42.2,43.9,12094,202,2104,830,127500,216,127,79,90438,777,1792,6288,3788,2010,939200,1792,1994,10408,610,4397,2415,7607,7313,111389,58255,830,167,2104,7198,130630,5798,15032,15032,5798,4006,,12620,CO,33035,8,33035,GREENWOOD VILLAGE,80111,39.6124,-104.88025
"Greenwood Village city, Colorado",15100,7665,7435,42.7,42.2,43.9,12094,202,2104,830,127500,216,127,79,90438,777,1792,6288,3788,2010,939200,1792,1994,10408,610,4397,2415,7607,7313,111389,58255,830,167,2104,7198,130630,5798,15032,15032,5798,4006,,12620,CO,33035,8,33035,GREENWOOD VILLAGE,80112,39.57288,-104.85854
"Greenwood Village city, Colorado",15100,7665,7435,42.7,42.2,43.9,12094,202,2104,830,127500,216,127,79,90438,777,1792,6288,3788,2010,939200,1792,1994,10408,610,4397,2415,7607,7313,111389,58255,830,167,2104,7198,130630,5798,15032,15032,5798,4006,,12620,CO,33035,8,33035,GREENWOOD VILLAGE,80155,39.7294,-104.8319
"Gunbarrel CDP, Colorado",10494,5292,5202,39.8,39.2,40.8,9729,9,270,493,87951,168,85,160,57587,1038,1663,4493,2908,1527,568900,1663,1980,7931,432,3073,1650,6377,6050,78920,41235,493,9,270,5898,110480,4435,10494,10494,4435,2328,,9136,CO,33502,8,33502,GUNBARREL,80301,40.04795,-105.19876
"Gunnison city, Colorado",6653,3539,3114,24.9,25.2,24.1,6323,27,0,628,44386,182,260,44,24982,1350,937,2857,1201,1368,259500,937,1978,3286,548,1317,405,4673,4349,24395,-666666666,628,27,0,4113,55230,2569,6605,6605,2569,1022,,6032,CO,33640,8,33640,GUNNISON,81230,38.40752,-106.98372
"Gunnison city, Colorado",6653,3539,3114,24.9,25.2,24.1,6323,27,0,628,44386,182,260,44,24982,1350,937,2857,1201,1368,259500,937,1978,3286,548,1317,405,4673,4349,24395,-666666666,628,27,0,4113,55230,2569,6605,6605,2569,1022,,6032,CO,33640,8,33640,GUNNISON,81243,38.26041,-107.17654
"Gypsum town, Colorado",7049,3426,3623,36.1,36,36.2,6125,0,0,2625,77788,113,0,50,34286,775,1738,2365,1579,602,388800,1738,1996,4654,937,1600,619,4213,4136,54511,21602,2625,0,0,4113,85615,2181,7049,7049,2181,1549,,5379,CO,33695,8,33695,GYPSUM,81637,39.77162,-107.10065
"Hayden town, Colorado",2452,1409,1043,38.3,34.7,42.8,2311,10,1,280,78417,49,23,74,28816,198,943,921,611,224,261300,943,1982,1596,422,350,131,1383,1365,52326,12244,280,10,1,1331,31755,835,2448,2448,835,570,,1913,CO,35070,8,35070,HAYDEN,81639,40.52636,-107.24457
"Highlands Ranch CDP, Colorado",107017,52967,54050,40.2,39.5,40.6,93385,1177,6820,9172,127093,543,205,430,55163,2747,1976,38330,30088,7462,493600,1976,1996,70893,6318,28165,13434,59426,57272,108668,48022,9172,1139,6763,56875,1236800,37550,106585,106585,37550,29387,,84946,CO,36410,8,36410,HIGHLANDS RANCH,80124,39.53197,-104.89173
"Highlands Ranch CDP, Colorado",107017,52967,54050,40.2,39.5,40.6,93385,1177,6820,9172,127093,543,205,430,55163,2747,1976,38330,30088,7462,493600,1976,1996,70893,6318,28165,13434,59426,57272,108668,48022,9172,1139,6763,56875,1236800,37550,106585,106585,37550,29387,,84946,CO,36410,8,36410,HIGHLANDS RANCH,80126,39.54127,-104.96251
"Highlands Ranch CDP, Colorado",107017,52967,54050,40.2,39.5,40.6,93385,1177,6820,9172,127093,543,205,430,55163,2747,1976,38330,30088,7462,493600,1976,1996,70893,6318,28165,13434,59426,57272,108668,48022,9172,1139,6763,56875,1236800,37550,106585,106585,37550,29387,,84946,CO,36410,8,36410,HIGHLANDS RANCH,80129,39.54521,-105.01203
"Highlands Ranch CDP, Colorado",107017,52967,54050,40.2,39.5,40.6,93385,1177,6820,9172,127093,543,205,430,55163,2747,1976,38330,30088,7462,493600,1976,1996,70893,6318,28165,13434,59426,57272,108668,48022,9172,1139,6763,56875,1236800,37550,106585,106585,37550,29387,,84946,CO,36410,8,36410,HIGHLANDS RANCH,80130,39.52918,-104.92448
"Highlands Ranch CDP, Colorado",107017,52967,54050,40.2,39.5,40.6,93385,1177,6820,9172,127093,543,205,430,55163,2747,1976,38330,30088,7462,493600,1976,1996,70893,6318,28165,13434,59426,57272,108668,48022,9172,1139,6763,56875,1236800,37550,106585,106585,37550,29387,,84946,CO,36410,8,36410,HIGHLANDS RANCH,80163,39.6133,-105.0166
"Holly Hills CDP, Colorado",2815,1181,1634,43.9,40.8,48.8,2531,20,46,284,130938,0,10,10,56371,110,2545,976,925,51,481600,2545,1961,2083,316,699,418,1528,1506,95563,-666666666,284,20,46,1499,30100,976,2764,2764,976,751,,2315,CO,37220,8,37220,HOLLY HILLS,80222,39.6713,-104.92828
"Holyoke city, Colorado",2596,1423,1173,37.3,37.2,37.3,2329,0,13,1211,47192,20,92,24,30166,200,754,1185,691,358,184100,754,1967,1673,422,230,67,1138,1138,45956,50089,1211,0,13,1108,16800,1049,2544,2544,1049,749,,1969,CO,37270,8,37270,HOLYOKE,80721,40.68821,-102.15297
"Holyoke city, Colorado",2596,1423,1173,37.3,37.2,37.3,2329,0,13,1211,47192,20,92,24,30166,200,754,1185,691,358,184100,754,1967,1673,422,230,67,1138,1138,45956,50089,1211,0,13,1108,16800,1049,2544,2544,1049,749,,1969,CO,37270,8,37270,HOLYOKE,80734,40.52472,-102.29259
"Hotchkiss town, Colorado",1230,586,644,34,35,26.6,1185,0,0,177,36944,44,67,27,23782,515,549,497,296,148,159300,549,1973,697,256,92,47,437,404,61343,-666666666,177,0,0,386,10705,444,1230,1230,444,295,,880,CO,37545,8,37545,HOTCHKISS,81419,38.86332,-107.74872
"Hudson town, Colorado",2691,1283,1408,33.9,34.3,32.3,2066,0,11,1270,52290,83,76,23,27642,470,1067,832,551,253,249500,1067,1981,1624,523,147,23,1399,1360,45000,21817,1270,0,0,1317,38975,804,2691,2691,804,653,,2165,CO,37820,8,37820,HUDSON,80642,40.05353,-104.61565
"Idaho Springs city, Colorado",1848,896,952,46.4,44.9,48.6,1686,59,0,106,54167,11,39,0,35039,190,975,883,484,326,289100,975,0,1421,267,340,206,1192,1174,56875,43571,106,36,0,1099,22980,810,1848,1848,810,405,,1695,CO,38370,8,38370,IDAHO SPRINGS,80452,39.70969,-105.59515
"Ignacio town, Colorado",1411,688,723,34,34.4,33.7,950,23,7,572,52143,23,16,19,25755,141,1053,478,244,204,183300,1053,1976,934,322,121,20,770,700,30000,24792,572,0,5,696,11420,448,1411,1411,448,283,,1098,CO,38535,8,38535,IGNACIO,81137,37.05555,-107.61596
"Indian Hills CDP, Colorado",1363,649,714,49.4,49.5,47.9,1237,0,26,52,126583,0,60,0,68438,106,-666666666,664,609,18,516400,-666666666,1971,1173,69,339,259,801,801,92461,-666666666,52,0,26,763,20370,627,1363,1363,627,490,,1267,CO,38810,8,38810,INDIAN HILLS,80454,39.63109,-105.25204
"Inverness CDP, Colorado",1863,1062,801,35.6,36,35.1,1247,72,380,225,106170,40,23,21,73914,128,1791,1359,180,1000,640000,1791,2011,1559,47,647,444,1489,1466,137687,-666666666,225,72,375,1455,24665,1180,1863,1863,1180,426,,1734,CO,38910,8,38910,INVERNESS,80112,39.57288,-104.85854
"Johnstown town, Colorado",14357,7707,6650,35.4,33.4,38.1,12862,63,709,2055,115069,273,149,11,38869,711,1484,4902,4141,717,364100,1484,2006,9386,2339,2039,1024,8161,7686,82397,62188,2055,51,709,7686,193880,4858,14357,14357,4858,3743,,10904,CO,39855,8,39855,JOHNSTOWN,80534,40.33192,-104.93522
"Johnstown town, Colorado",14357,7707,6650,35.4,33.4,38.1,12862,63,709,2055,115069,273,149,11,38869,711,1484,4902,4141,717,364100,1484,2006,9386,2339,2039,1024,8161,7686,82397,62188,2055,51,709,7686,193880,4858,14357,14357,4858,3743,,10904,CO,39855,8,39855,JOHNSTOWN,80543,40.34645,-104.8532
"Julesburg town, Colorado",1246,574,672,35.7,40.7,34,1174,10,8,227,42375,40,38,52,23843,265,593,644,274,255,94300,593,1953,834,186,103,34,577,522,34531,57614,227,10,8,516,8755,529,1215,1215,529,310,,944,CO,39965,8,39965,JULESBURG,80737,40.88974,-102.19267
"Julesburg town, Colorado",1246,574,672,35.7,40.7,34,1174,10,8,227,42375,40,38,52,23843,265,593,644,274,255,94300,593,1953,834,186,103,34,577,522,34531,57614,227,10,8,516,8755,529,1215,1215,529,310,,944,CO,39965,8,39965,JULESBURG,80744,40.87471,-102.38355
"Keenesburg town, Colorado",1774,1030,744,33.7,29.5,37.7,1651,8,0,406,75966,36,16,20,26397,186,1178,506,319,170,279300,1178,1990,1093,322,99,44,871,840,64545,45455,406,8,0,820,32245,489,1758,1758,489,392,,1352,CO,40185,8,40185,KEENESBURG,80643,40.11186,-104.47164
"Ken Caryl CDP, Colorado",33815,16705,17110,41.4,41.3,41.5,29673,168,983,3526,97344,326,208,231,46728,1420,1675,13532,11228,2108,411800,1675,1986,23960,3120,7508,3178,19567,18922,82099,51573,3526,143,983,18742,470940,13336,33808,33808,13336,9367,,27539,CO,40377,8,40377,KEN CARYL,80123,39.61578,-105.0692
"Kersey town, Colorado",1879,840,1039,32.9,31.6,36,1686,3,0,446,62083,48,9,21,26833,155,1151,609,409,189,252000,1151,1980,1173,344,122,74,985,922,108229,82981,446,3,0,896,20915,598,1879,1879,598,436,,1455,CO,40515,8,40515,KERSEY,80644,40.3371,-104.43866
"Kremmling town, Colorado",1618,985,633,36.1,31.3,43,1521,0,0,331,55625,53,10,30,27961,247,1000,632,420,149,250000,1000,1972,957,322,154,58,808,782,68250,70000,331,0,0,782,22085,569,1613,1613,569,336,,1307,CO,41560,8,41560,KREMMLING,80459,40.1843,-106.41877
"Lafayette city, Colorado",27952,14031,13921,39.7,38.1,43,23905,175,1110,4377,85909,325,140,269,49780,1496,1685,12089,8246,3450,458300,1685,1991,20141,2087,7703,3099,16355,15732,95417,39365,4377,175,1110,15411,332120,11696,27942,27942,11696,7241,,22455,CO,41835,8,41835,LAFAYETTE,80026,40.01188,-105.0985
